출발지,도착지,거리 (km)
농구장_상경11,보의관_조형_흡연구역1_2,0.17299538598254982
농구장_상경11,보의관_조형_흡연구역1_3,0.1685297007713711
농구장_상경11,보의관_조형_흡연구역1_4,0.16446608219827172
농구장_상경11,보의관_조형1,0.15160655791430214
농구장_상경11,보의관_조형2,0.14247987065559742
농구장_상경11,보의관_조형3,0.1334758239777709
농구장_상경11,보의관_조형4,0.12462100410509203
농구장_상경11,보의관_조형5,0.11594960501196765
농구장_상경11,보의관_조형6,0.10750602043610917
농구장_상경11,보의관_조형7,0.09934835365403011
농구장_상경11,보의관_조형8,0.09155306582548695
농구장_상경11,보의관_조형9,0.08422084078709025
농구장_상경11,인사관_조형학관,0.18301261601148316
농구장_상경11,멀베리1,0.23206675849883288
농구장_상경11,멀베리2,0.222227250516363
농구장_상경11,멀베리3,0.21252329492375277
농구장_상경11,멀베리4,0.19289867254724355
농구장_상경11,인사관_디정관23,0.2029743348583792
농구장_상경11,멀베리_삼거리,0.24202528648655838
농구장_상경11,기숙사_오르막길,0.26173725033431106
농구장_상경11,기숙사_오르막길1,0.2669565002548978
농구장_상경11,제2엘림생활관,0.2490709302914786
농구장_상경11,2관_입구,0.25800941703951696
